No,Case
62,السلام عليكم شي نصيحة الله يرحم الوالدين داب انا خرجت من البيت زوجية سبب اخوتات ام راجلي خرجوني المهم شهرين في دارنا راجلي رفع عليا دعوة رجوع البيت الزوجية قاليا رجعي ولا طلقي راسك منعطيك والو هو بغا يطلقني كيخاف من خوتاتو بزاف ولكن مبغاش يعطيني حقي قاليا نطلقك شقاق منعطيك والو شديت محامي حتى هو شد محامي اول جلسة دازت دفعو مقال تاني جلسة هكاك مشكل عمرني محضرت عندي جلسة شهر 12قالي محامي غدي نجوبو غير على مقال معرفتش هدشي كيفاش 
63,الساده المستشارين الأفاضل...عايز اعمل محضر إثبات حاله...هل لو اتصلت بالنجده هيجو ولا ايه الإجراء.. شكرا
64,الفروق القانونية بين الكفاله و الغرامه
65,طرق تنفيذ أحكام النفقة :أولاً: عن طريق جهة عمل الزوج، إذا كان موظف وذلك حينما يصدر حكم النفقة يتم إعلان الصيغة التنفيذية في جهة عمل الزوج، وعمل إعلان بحجز ما للمدين لدى الغير والتي تقوم بدورها بخصم مبلغ النفقة الشهري من مرتبه في حدود نسب معينة مذكورة في القانونثانياً: عن طريق بنك ناصر الإجتماعي، وذلك إذا كان الزوج يعمل في الأعمال الحرة، ففي هذه الحالة يتم صرف النفقة من البنك، ولكن البنك أكبر مبلغ نفقة يقوم بصرفه هو ٥٠٠ جنيه شهرياً.ثالثاً: التنفيذ عن طريق المحضرين بالمحكمة، وذلك بالحجز على أموال الزوج، أو ممتلكاته عن طريق عمل توكيل بالتنفيذرابعاً: رفع دعوى حبس على الزوج ويعاقب الزوج في حالة امتناعه عن السداد بالحبس لمدة شهر وذلك بعد ان يصبح الحكم نهائىخامسا: إقامة جنحة الامتناع عن سداد النفقة طبقا لنص المادة ٢٩٣ من قانون العقوبات، ويعاقب الزوج في حالة امتناعه عن سداد النفقة، بالحبس مدة لا تزيد على سنة، وبغرامة لا تتجاوز خمسمائة جنية، أو بإحدى هاتين العقوبتين
66,استشارة قانونيةامرأة دخلت سوبر ماركت وسرقت اشياء بقيمة 100 جنيه في شنطتها وتم ظبطها علي الكاشير وتم التعرف علي المنتجات وقامت الست بدفع المبلغ كاملا  ولكن صاحب السوبر ماركت أصر أنه يبلغ الشرطة وبالفعل حضرت الشرطة وعمل محضر واتحولت الست علي النيابة العامة ووكيل النيابة المحترم اتكلم مع صاحب الشكوي وأقنعه أن الست لو اتحبست هيكون في ضرر علي الست وأطفالها  واقتنع صاحب السوبر ماركت ما قالة وكيل النيابة وتم عمل محضر صلح والتوقيع عليه من الطرفين...وبعد يومين صاحب السوبر ماركت قابل زوج الست وطلب منه دفع مبلغ تعويض وقدرة 50 الف جنيه..والزوج رفض طلبه ...ما هو العمل القانوني مع صاحب السوبر ماركت وجزاكم الله خيرا
67,سلام عليكم عندي سؤال، عند وفاة الإبن قبل الأب، والإبن عندو ابناؤ، هل عو حق فالورث ولا لا، وشكرا
68,السلام عليكم ورحمة الله وبركاته شقة الزوجية مكتوبة في العقد بالنصف بيني و بين طليقتي.. حاليا هيا واخدة الشقة تمكين لأنها حاضنة السؤال ايه الإجراء اللي بيتعمل بعد انتهاء فترة الحضانة يخليني اخد حقي في الشقة السؤال الثاني للسادة المحامين لو كتبنا عقد اتفاق و هما ضغطوا عليا عشان اكتب انها ليها ٧٥ ٪ من الشقة و انا ليا ٢٥ ٪  هل ممكن يعملوا صحة توقيع على عقد الاتفاق ده و يبقى ليه قوة العقد و ياخدوا فعلا ٧٥٪ من الشقة؟مع جزيل الشكر
69,السلام عليكم انا خدام نادل فواحد المطعم وقع خلاف بيني ابين واحد سرباي قمشني فوجهي خلا ليا نذبة شناهوا الإجراء لي نقدر ناخد فحقو
70, الدعاوى التي من حق الزوجة رفعها على الزوج: دعوى نفقة زوجية. دعوى نفقة صغار. دعوى قائمة منقولات زوجية ( شاملة الذهب). دعوى مطالبة بالذهب من غير المنقولات الزوجية. دعوى نفقة عدة. دعوى نفقة متعة. دعوى مؤخر صداق والمثبت فى قسيمة الزواج. دعوى مطالبة بمؤخر الصداق لوفاة الزوج. دعوى قرار تمكين من مسكن الزوجية (إيجار أو تمليك). دعوى أجر مسكن. دعوى أجر حضانة.  دعوى  بدل فرش وغطاء. دعوى ملابس صيف وشتاء. دعوى مطالبة بمصاريف مدارس. دعوى مطالبة بمصاريف ولاده.  دعوى أجر رضاعة. دعوى أجر حمل مستكن. دعوى مصاريف علاج. دعوى زيادة نفقة. دعوى ضم صغير أو طلب ضم صغير. طلب ولاية تعليمية. دعوى اعتراض على انذار الطاعة. دعوى نفقة أقارب (جد أو عم). دعوى الخلع. دعوى تطليق لعدم الإنفاق. دعوى تطليق للخصاء. دعوى تطليق للجب. دعوى تطليق لجنون الزوج. دعوى تطليق للضرر. دعوى تطليق للهجر. دعوى تطليق للغيبة. دعوى تطليق للحبس. دعوى إثبات نسب. دعوى إثبات زواج عرفي. دعوى إثبات طلاق. دعوى حبس.  الدعاوى التى من حق الزوج رفعها: إنذار طاعة. دعوى إثبات نشوز. دعوى عدم التعرض بحكم نفقة للنشوز. دعوى رد الشبكة والهدايا. دعوى نفي نسب. دعوى تخفيض نفقة. دعوى كف عن مطالبة بنفقة صغير. دعوى إبطال حكم نفقة ليسار المحكوم له. دعوى إسقاط نفقة للنشوز. دعوى رؤية. دعوى إسقاط حضانة. دعوى ضم الصغير لأبيه لبلوغه أقصى سن حضانة النساء. دعوى تعويض لعدم تنفيذ حكم رؤية. وفى حالة رفع دعوى خلع من الزوجة تتنازل للزوج عن: مؤخر الصداق.  نفقة المتعة. نفقة العدة.نقدم كافة أنواع القضايا المتعلقة بشئون الأسرة المتعلقة بحقوق الزوجة والزوج والأبناء  للإستشارات القانونية وأعمال المحاماة والتحكيم وتأسيس الشركات.لدينا الحل لكافة حقوقك القانونية لمزيد من المعلومات:#مؤسسةالمستشار_لأعمال_المحاماة #استشارتكمعانا خليك دايماً في قمة الحماية القانونيةالمستشار القانوني مصطفى المنسى0114940864201099185151
71,السلام وعليكم انا كنت دفعت تسبيق 10 المليون فواحد دار ديال السكن اجتماجيوعطاوني كونطرا ديال الشركة ديالهم فيها بلي دفعت 10 مليون تسبيقمع العلم هاد العملية مادخلش فيها النوطير واش عادي هاد الشي؟
